PRAD,HR,P-value,Hr-Inv-lst,PCPG,HR,P-value,Hr-Inv-lst,PAAD,HR,P-value,Hr-Inv-lst,OV,HR,P-value,Hr-Inv-lst,THYM,HR,P-value,Hr-Inv-lst,UVM,HR,P-value,Hr-Inv-lst,UCEC,HR,P-value,Hr-Inv-lst,UCS,HR,P-value,Hr-Inv-lst,THCA,HR,P-value,Hr-Inv-lst,TGCT,HR,P-value,Hr-Inv-lst,STAD,HR,P-value,Hr-Inv-lst,SKCM,HR,P-value,Hr-Inv-lst,SARC,HR,P-value,Hr-Inv-lst,READ,HR,P-value,Hr-Inv-lst,LUAD,HR,P-value,Hr-Inv-lst,MESO,HR,P-value,Hr-Inv-lst,LUSC,HR,P-value,Hr-Inv-lst,LIHC,HR,P-value,Hr-Inv-lst,LGG,HR,P-value,Hr-Inv-lst,LAML,HR,P-value,Hr-Inv-lst,KIRP,HR,P-value,Hr-Inv-lst,KIRC,HR,P-value,Hr-Inv-lst,KICH,HR,P-value,Hr-Inv-lst,HNSC,HR,P-value,Hr-Inv-lst,GBM,HR,P-value,Hr-Inv-lst,ESCA,HR,P-value,Hr-Inv-lst,DLBC,HR,P-value,Hr-Inv-lst,CHOL,HR,P-value,Hr-Inv-lst,CESC,HR,P-value,Hr-Inv-lst,BRCA,HR,P-value,Hr-Inv-lst,BLCA,HR,P-value,Hr-Inv-lst,ACC,HR,P-value,Hr-Inv-lst,COAD,HR,P-value,Hr-Inv-lst
CCND2,1.499233,0.59623146,0.66700773,CCND2,0.56510268,0.51235453,1.76958992,CCND2,0.51778394,0.01559791,1.9313075,CCND2,1.13597909,0.40883989,0.88029789,CCND2,2.318990034,0.333285517,0.431222207,CCND2,0.93381841,0.90578663,1.07087202,CCND2,1.77667416,0.34123841,0.56284941,CCND2,0.86725297,0.6941854,1.15306611,CCND2,0.36269973,0.08701877,2.75710159,CCND2,0.48039077,0.5494668,2.08163866,CCND2,1.115659,0.62966649,0.89633122,CCND2,0.75182764,0.07867269,1.33009209,CCND2,0.8573112,0.50648919,1.16643758,CCND2,0.577200845,0.478889216,1.732499196,CCND2,0.864285211,0.434601367,1.157025467,CCND2,0.46290938,0.0059124,2.16025003,CCND2,0.65861265,0.0109731,1.51834313,CCND2,0.726725831,0.135709925,1.376034754,CCND2,1.822502726,0.006587465,0.548696024,CCND2,0.553859285,0.002032475,1.80551275,CCND2,0.603610352,0.167656145,1.656697896,CCND2,1.318304828,0.086130717,0.758549904,CCND2,0.494999005,0.320790826,2.020206082,CCND2,0.887655726,0.447574726,1.12656289,CCND2,0.76575388,0.175782068,1.305902623,CCND2,0.792391963,0.385908776,1.262001694,CCND2,3.219016339,0.315932554,0.310653906,CCND2,0.499291297,0.199800942,2.002838838,CCND2,0.931400337,0.784285476,1.073652177,CCND2,0.575680432,0.0059887,1.737074851,CCND2,1.032418143,0.868652141,0.968599794,CCND2,0.581245375,0.180571703,1.720443798,CCND2,0.920952711,0.800197936,1.085832083
CD14,0.33906928,0.19094922,2.94924978,CD14,1.07818729,0.92720242,0.92748265,CD14,1.04853749,0.8570382,0.95370934,CD14,1.17483766,0.30431291,0.85118143,CD14,2989167489,0.99898854,3.35E-10,CD14,1.39928473,0.57177937,0.71465083,CD14,1.23147066,0.70849502,0.81203721,CD14,0.77021728,0.47376829,1.29833493,CD14,0.47802046,0.18635239,2.09196065,CD14,694163419,0.99885129,1.44E-09,CD14,0.91662125,0.71015487,1.09096314,CD14,0.65712574,0.00991231,1.52177876,CD14,0.70928032,0.1436901,1.4098798,CD14,3.89E-09,0.99888389,2.57E+08,CD14,0.980851169,0.915501367,1.019522667,CD14,0.89448114,0.67952872,1.11796656,CD14,1.8523898,0.00017639,0.53984318,CD14,0.825173566,0.370805501,1.211866257,CD14,1.578574141,0.034416221,0.633483074,CD14,1.306720119,0.15677493,0.765274817,CD14,0.881767852,0.72664449,1.134085346,CD14,1.56264296,0.005821454,0.639941449,CD14,0.570822502,0.428278418,1.751858058,CD14,1.130605144,0.433683011,0.884482089,CD14,1.46314327,0.058898365,0.683460069,CD14,1.089087106,0.74872914,0.918200201,CD14,0.90116993,0.917142928,1.109668628,CD14,0.94112594,0.906266414,1.062557047,CD14,1.137057733,0.620926165,0.87946282,CD14,1.019570458,0.922397559,0.980805193,CD14,0.903584537,0.598958548,1.106703312,CD14,0.43772754,0.047413935,2.284526123,CD14,1.270137713,0.490166301,0.787316202
CD2,2.19644119,0.28752881,0.45528194,CD2,0.43616637,0.34208979,2.29270312,CD2,1.06402725,0.81596729,0.93982556,CD2,0.98593824,0.92874618,1.01426231,CD2,0.106470308,0.049304019,9.3922899,CD2,4.70702537,0.02287324,0.2124484,CD2,1.43241308,0.5381202,0.69812264,CD2,0.88496898,0.73658563,1.12998311,CD2,0.83204433,0.73354908,1.20185905,CD2,2.12566031,0.53817728,0.47044205,CD2,1.1504373,0.53605761,0.86923468,CD2,0.69472983,0.02501904,1.43940847,CD2,0.67932469,0.10208343,1.47205014,CD2,1.20E-09,0.999101033,836445638.3,CD2,0.662442197,0.025195121,1.509565671,CD2,0.63864147,0.10279297,1.56582378,CD2,0.94207613,0.71371603,1.06148534,CD2,0.5677817,0.010110079,1.76124028,CD2,1.785473612,0.006165147,0.560075485,CD2,0.949005114,0.780248733,1.053735101,CD2,0.832930167,0.609044325,1.200580841,CD2,1.301140564,0.102332098,0.768556471,CD2,0.997082332,0.996527935,1.002926206,CD2,0.744181491,0.059515652,1.343758226,CD2,0.932755008,0.72187422,1.072092877,CD2,1.456276547,0.161793891,0.686682761,CD2,2.404760438,0.448774594,0.415841838,CD2,0.814958826,0.686228369,1.227055856,CD2,0.480603347,0.006501806,2.080717927,CD2,0.656454121,0.036709453,1.523335702,CD2,0.640861984,0.02155009,1.560398377,CD2,0.56310283,0.162949149,1.775874576,CD2,0.841202961,0.611795664,1.188773752
CD38,0.85482621,0.83737729,1.16982843,CD38,0.21905048,0.16715842,4.56515782,CD38,1.19789546,0.4971899,0.83479739,CD38,0.81350084,0.18808619,1.22925503,CD38,3.93E-10,0.998978636,2544692693,CD38,2.19092861,0.17136673,0.45642747,CD38,1.85149961,0.31581044,0.54010273,CD38,0.57233591,0.13428797,1.74722567,CD38,0.45862427,0.16413781,2.1804341,CD38,2.41152264,0.47250958,0.41467577,CD38,1.2707097,0.28812682,0.78696181,CD38,0.66418934,0.01161934,1.50559477,CD38,0.67900964,0.10110743,1.47273315,CD38,2.48E-01,0.19879308,4.026734719,CD38,0.942610427,0.747139712,1.06088366,CD38,0.70339414,0.1965748,1.42167804,CD38,1.02077857,0.89845548,0.97964439,CD38,0.897173428,0.613975891,1.1146117,CD38,0.703859398,0.0982196,1.420738293,CD38,1.031570236,0.868478387,0.969395941,CD38,2.274878476,0.037258247,0.439583921,CD38,1.12436204,0.460439166,0.889393242,CD38,0.91272241,0.891840379,1.095623367,CD38,0.778020109,0.1084784,1.285313822,CD38,0.804685311,0.267758331,1.242721828,CD38,0.850307585,0.54494801,1.176045019,CD38,0.980868503,0.984612577,1.01950465,CD38,0.83714514,0.725433102,1.194535992,CD38,0.668598421,0.119695989,1.495666112,CD38,1.034155603,0.86418921,0.966972473,CD38,0.882703357,0.517577655,1.132883423,CD38,0.780212834,0.538366646,1.281701551,CD38,0.774667863,0.49512137,1.290875803
CD44,0.9811158,0.98021471,1.01924768,CD44,0.61155112,0.57213257,1.63518627,CD44,2.42663507,0.00119615,0.41209328,CD44,0.82139202,0.20519314,1.21744547,CD44,2.114300379,0.397559364,0.472969692,CD44,0.33865092,0.10518073,2.95289322,CD44,0.59537659,0.39802173,1.67960921,CD44,1.28400875,0.49316653,0.77881089,CD44,0.30762187,0.07062662,3.25074415,CD44,2.08163866,0.5494668,0.48039077,CD44,1.89558214,0.00601218,0.52754242,CD44,0.94322571,0.71842581,1.06019162,CD44,0.82770085,0.4205908,1.20816597,CD44,0.800866775,0.801335759,1.24864713,CD44,1.174358016,0.379416546,0.851529079,CD44,2.00588632,0.01153658,0.49853274,CD44,1.09535168,0.57487503,0.9129488,CD44,1.139339077,0.544992421,0.877701837,CD44,2.103323421,0.000834193,0.475438057,CD44,0.624805306,0.013285344,1.600498573,CD44,2.142446574,0.046651381,0.466756097,CD44,1.678142997,0.001585753,0.595896775,CD44,0.705820749,0.603787988,1.416790314,CD44,1.381221863,0.042257828,0.723996649,CD44,1.032743409,0.870240172,0.968294729,CD44,1.529756847,0.117782555,0.653698659,CD44,0.729129304,0.752697969,1.371498847,CD44,1.308743484,0.642999729,0.764091674,CD44,1.349205816,0.253701356,0.741176763,CD44,0.897636317,0.583680208,1.114036923,CD44,1.171713484,0.412117515,0.853450962,CD44,0.670965676,0.329305349,1.490389204,CD44,1.559214791,0.174397288,0.641348457
CD69,0.59743467,0.48441743,1.67382319,CD69,0.58097013,0.53290965,1.72125888,CD69,0.77489169,0.36537509,1.29050293,CD69,1.20916245,0.22836795,0.82701874,CD69,0.756587713,0.736389975,1.321723817,CD69,2.29237349,0.14766303,0.43622909,CD69,0.602499,0.40544027,1.6597538,CD69,0.9929958,0.98445602,1.00705361,CD69,1.07342508,0.89604877,0.93159738,CD69,720830939,0.99885194,1.39E-09,CD69,1.27564856,0.27999126,0.78391497,CD69,0.62419032,0.00380249,1.60207547,CD69,0.69183961,0.11516774,1.44542171,CD69,1.33197233,0.795567182,0.750766347,CD69,0.771593621,0.159726094,1.296019009,CD69,1.40628781,0.20228235,0.71109199,CD69,0.90361132,0.53443386,1.10667051,CD69,0.66943966,0.061443534,1.493786609,CD69,2.56886812,2.80E-05,0.389276504,CD69,1.470987622,0.040259655,0.679815374,CD69,1.208033733,0.595520245,0.827791454,CD69,1.310645741,0.090630383,0.76298268,CD69,0.31594779,0.150788493,3.165079907,CD69,0.755829712,0.075545712,1.323049337,CD69,1.094457286,0.645049306,0.913694863,CD69,1.347223934,0.265386227,0.742267098,CD69,2.619089076,0.404496869,0.381812138,CD69,0.876121528,0.795466532,1.141394165,CD69,0.924461708,0.76409527,1.081710568,CD69,0.730499123,0.117106067,1.368927037,CD69,1.010958311,0.954905044,0.989160472,CD69,0.51679916,0.115888417,1.934987667,CD69,0.700463278,0.295647023,1.427626589
CDC25B,2.51350235,0.27107446,0.39785123,CDC25B,0.96450048,0.96508376,1.03680611,CDC25B,0.7982309,0.39445392,1.25277034,CDC25B,1.18903648,0.26291578,0.84101709,CDC25B,0.144372279,0.080358589,6.926537477,CDC25B,3.12313269,0.08877969,0.32019133,CDC25B,2.00217933,0.23765977,0.49945576,CDC25B,0.89417398,0.75816523,1.11835059,CDC25B,0.8660734,0.79207056,1.15463655,CDC25B,1.90701627,0.59830447,0.52437938,CDC25B,1.1230018,0.60892486,0.89047052,CDC25B,0.87094729,0.39927859,1.1481751,CDC25B,1.75150858,0.01736476,0.5709364,CDC25B,0.85564101,0.853531662,1.168714436,CDC25B,0.750141917,0.115539393,1.333081084,CDC25B,0.94738378,0.84033571,1.05553844,CDC25B,1.27034059,0.14296,0.78719046,CDC25B,1.573300223,0.03500365,0.635606597,CDC25B,2.163173265,0.000401921,0.46228382,CDC25B,1.294163134,0.17137113,0.772700113,CDC25B,1.546673211,0.221491296,0.646548989,CDC25B,2.273033649,8.59E-07,0.439940694,CDC25B,1.221852878,0.765266216,0.81842914,CDC25B,0.948189074,0.736147275,1.054641978,CDC25B,0.874956691,0.492784865,1.142913712,CDC25B,1.163407236,0.570068185,0.85954425,CDC25B,6.86E-10,0.999165712,1457178447,CDC25B,1.795448847,0.290130923,0.556963793,CDC25B,0.834180887,0.486190677,1.198780762,CDC25B,1.313938797,0.169339555,0.761070457,CDC25B,1.185987775,0.377751509,0.843179011,CDC25B,3.293305214,0.007601548,0.303646317,CDC25B,1.569412913,0.173006034,0.637180943
CDK2,2.69653982,0.22806641,0.37084563,CDK2,0.55272996,0.5165109,1.80920172,CDK2,1.71935944,0.04172524,0.58161195,CDK2,0.86847514,0.36150398,1.15144344,CDK2,0.108142489,0.051958752,9.247059232,CDK2,0.16235818,0.01999744,6.15922173,CDK2,1.30978912,0.64082916,0.76348168,CDK2,0.58716343,0.14493259,1.70310334,CDK2,1.06320665,0.91338416,0.94055093,CDK2,2.20158534,0.51938041,0.45421814,CDK2,0.95304307,0.83330119,1.04927053,CDK2,1.34090224,0.07217988,0.74576652,CDK2,1.46460536,0.10278796,0.68277778,CDK2,0.756015282,0.716697103,1.322724586,CDK2,1.397910811,0.074164936,0.71535322,CDK2,1.61559989,0.0762547,0.61896513,CDK2,0.79907775,0.16419587,1.25144268,CDK2,1.204254516,0.386407714,0.830389247,CDK2,2.906902482,7.50E-06,0.344008788,CDK2,0.886948627,0.523083916,1.127461016,CDK2,1.782908657,0.105890946,0.56088123,CDK2,2.003790857,2.61E-05,0.499054079,CDK2,3.555237775,0.11367034,0.281275139,CDK2,1.22272602,0.198431145,0.817844704,CDK2,0.949004852,0.789224018,1.053735393,CDK2,1.559075597,0.098476839,0.641405716,CDK2,0.67992632,0.741987035,1.470747595,CDK2,1.110711726,0.835379974,0.900323618,CDK2,1.021477816,0.93453531,0.978973781,CDK2,1.202234791,0.355745337,0.83178428,CDK2,0.701619654,0.068654259,1.425273642,CDK2,4.079343826,0.001742934,0.245137464,CDK2,1.357051686,0.352791674,0.736891609
CDKN1A,0.26948095,0.11124242,3.71083741,CDKN1A,4.19140937,0.192276,0.23858323,CDKN1A,1.02441746,0.92732776,0.97616454,CDKN1A,0.80628927,0.16517632,1.24024967,CDKN1A,5.154940758,0.135161189,0.19398865,CDKN1A,2.9565599,0.07459872,0.33823093,CDKN1A,0.83093473,0.7527957,1.20346396,CDKN1A,1.02360451,0.94859992,0.97693982,CDKN1A,0.60785706,0.35438869,1.64512361,CDKN1A,510957847,0.99887059,1.96E-09,CDKN1A,1.05472226,0.81276591,0.9481169,CDKN1A,1.10051246,0.55491085,0.90866759,CDKN1A,0.95714024,0.84981294,1.04477898,CDKN1A,2.067299348,0.380445894,0.483722883,CDKN1A,0.998498396,0.993444607,1.001503862,CDKN1A,2.23524619,0.00470397,0.44737801,CDKN1A,1.2798799,0.12671551,0.78132331,CDKN1A,0.924582285,0.717199453,1.081569501,CDKN1A,1.589145939,0.027950569,0.629268826,CDKN1A,0.982472956,0.925050255,1.017839722,CDKN1A,0.515475084,0.072565488,1.939957976,CDKN1A,0.818857511,0.210279438,1.221213687,CDKN1A,0.134843421,0.058915931,7.416008838,CDKN1A,1.138098319,0.407988205,0.878658709,CDKN1A,1.313914138,0.162314757,0.76108474,CDKN1A,1.009574511,0.971734145,0.990516291,CDKN1A,2.581889533,0.411747744,0.38731324,CDKN1A,0.901371607,0.83603112,1.109420346,CDKN1A,1.231196324,0.42755717,0.812218149,CDKN1A,1.187873704,0.380804042,0.841840338,CDKN1A,0.776916126,0.193595794,1.287140229,CDKN1A,0.590191376,0.1987789,1.694365661,CDKN1A,0.63423862,0.181101399,1.576693642
CDKN1B,0.67227265,0.58760041,1.48749172,CDKN1B,0.31692687,0.3047865,3.15530208,CDKN1B,1.04137145,0.87916555,0.96027215,CDKN1B,1.18163544,0.2806026,0.8462847,CDKN1B,0.387940184,0.280504371,2.57771698,CDKN1B,1.21332449,0.72998249,0.82418183,CDKN1B,0.63573685,0.43995272,1.57297787,CDKN1B,1.14695227,0.7045849,0.87187586,CDKN1B,1.06928998,0.9004414,0.93520001,CDKN1B,1.94397964,0.58730452,0.51440868,CDKN1B,0.80558104,0.36802815,1.24134003,CDKN1B,0.63658975,0.00560329,1.57087041,CDKN1B,1.11345158,0.64442016,0.89810821,CDKN1B,0.551235592,0.438338262,1.814106371,CDKN1B,0.945384835,0.757668616,1.057770299,CDKN1B,0.96098492,0.88101732,1.04059905,CDKN1B,0.75288045,0.08048899,1.32823213,CDKN1B,0.928028485,0.726054231,1.077553131,CDKN1B,0.731102874,0.13569351,1.367796565,CDKN1B,0.821307834,0.296118904,1.217570269,CDKN1B,2.106719096,0.042158137,0.474671731,CDKN1B,0.658850548,0.009598207,1.517794897,CDKN1B,1.225576423,0.761778732,0.81594259,CDKN1B,0.779157905,0.111667185,1.283436892,CDKN1B,0.791831435,0.232820028,1.26289505,CDKN1B,1.098283764,0.727587781,0.910511503,CDKN1B,4.387209156,0.201727654,0.227935338,CDKN1B,0.966020611,0.947349843,1.0351746,CDKN1B,0.926378438,0.768793991,1.079472447,CDKN1B,0.823939386,0.328463413,1.213681512,CDKN1B,1.121712129,0.552634629,0.891494328,CDKN1B,0.66961682,0.321366129,1.493391399,CDKN1B,0.679142117,0.237628353,1.472445862
CFLAR,3.06296542,0.1706066,0.326481,CFLAR,0.47705021,0.39797599,2.0962154,CFLAR,1.60155548,0.07656456,0.62439298,CFLAR,0.97514145,0.870224,1.02549225,CFLAR,2.815983087,0.238864213,0.355115769,CFLAR,2.63929772,0.11406802,0.37888867,CFLAR,1.53559283,0.45983076,0.65121429,CFLAR,1.23993513,0.55514906,0.80649381,CFLAR,0.5849868,0.3227079,1.70944027,CFLAR,553527137,0.99886023,1.81E-09,CFLAR,1.09545914,0.68794184,0.91285924,CFLAR,0.73235805,0.05506277,1.36545233,CFLAR,0.52866009,0.00701541,1.89157461,CFLAR,0.162349155,0.096216173,6.159563953,CFLAR,0.991531474,0.963096816,1.008540855,CFLAR,0.76945263,0.33133421,1.29962516,CFLAR,1.4277921,0.02866263,0.70038208,CFLAR,1.031070716,0.887134537,0.969865582,CFLAR,2.391455901,9.32E-05,0.418155317,CFLAR,0.862015446,0.429143594,1.16007202,CFLAR,0.968957846,0.929511257,1.032036641,CFLAR,1.021419003,0.89344271,0.97903015,CFLAR,1.562316485,0.506910808,0.640075177,CFLAR,0.787212066,0.126370707,1.270305732,CFLAR,1.218023764,0.314041185,0.821002044,CFLAR,1.092891996,0.744924753,0.915003498,CFLAR,3.500242951,0.278307782,0.285694454,CFLAR,0.856886555,0.760882601,1.167015626,CFLAR,0.864011373,0.573640375,1.157392173,CFLAR,1.035829412,0.860089904,0.96540993,CFLAR,0.802728597,0.255060387,1.24575106,CFLAR,1.188796922,0.66623627,0.841186566,CFLAR,1.037909465,0.910203242,0.963475171
CLU,0.39132899,0.26227239,2.55539461,CLU,1.33521449,0.72490594,0.74894334,CLU,0.55216931,0.02720258,1.81103871,CLU,1.03889106,0.80542602,0.96256483,CLU,0.563522229,0.510281044,1.774552889,CLU,0.5821574,0.37351098,1.71774849,CLU,2.29030374,0.16961746,0.43662331,CLU,1.71948269,0.14029479,0.58157026,CLU,0.17745854,0.00814949,5.63511913,CLU,0.43509223,0.49720725,2.29836325,CLU,0.96803447,0.88651309,1.03302107,CLU,0.95114273,0.75822215,1.05136692,CLU,0.71571247,0.15090363,1.39720913,CLU,0.753963205,0.737618177,1.326324671,CLU,0.885036819,0.501450126,1.129896495,CLU,0.89169029,0.66668736,1.12146562,CLU,1.07725619,0.64522689,0.92828429,CLU,0.795724978,0.283178319,1.256715609,CLU,1.789644392,0.006077564,0.558770225,CLU,0.975075853,0.892985163,1.025561239,CLU,1.216617523,0.586309354,0.821951009,CLU,1.222850517,0.20741912,0.81776144,CLU,0.124892207,0.049886898,8.006904679,CLU,1.033792468,0.831260719,0.967312136,CLU,1.039067924,0.845052907,0.962400991,CLU,0.647725801,0.114712262,1.543863156,CLU,5.93E-10,0.999157465,1686478487,CLU,0.954021354,0.926503081,1.048194567,CLU,0.714425669,0.205567328,1.399725743,CLU,1.17355979,0.415886338,0.852108268,CLU,0.996271912,0.984536366,1.003742039,CLU,0.316693211,0.010486986,3.157630048,CLU,0.823097381,0.552153779,1.214923074
CREBBP,2.18551804,0.29108863,0.45755742,CREBBP,1.05127488,0.9518979,0.951226,CREBBP,1.21907881,0.45467673,0.82029151,CREBBP,1.21266377,0.21628044,0.82463088,CREBBP,0.495005389,0.418705802,2.020180027,CREBBP,0.51325134,0.26842717,1.94836314,CREBBP,0.51608286,0.26192797,1.93767332,CREBBP,1.08437778,0.82190762,0.92218784,CREBBP,1.33050653,0.59808704,0.75159345,CREBBP,2.08953288,0.54741839,0.47857586,CREBBP,1.14516154,0.54664039,0.87323924,CREBBP,1.42520216,0.03280419,0.70165484,CREBBP,1.0231124,0.92140696,0.97740972,CREBBP,0.217119615,0.158358893,4.605756134,CREBBP,0.916042084,0.632710758,1.091652902,CREBBP,1.04578346,0.86819383,0.9562209,CREBBP,1.14054131,0.41677449,0.87677666,CREBBP,0.768103094,0.216652136,1.30190857,CREBBP,0.717997761,0.12250747,1.392762004,CREBBP,0.983522832,0.929407796,1.016753214,CREBBP,1.645328148,0.174252582,0.607781494,CREBBP,0.622815569,0.003769595,1.605611756,CREBBP,0.49507605,0.320178847,2.019891693,CREBBP,0.89604955,0.482316484,1.116009712,CREBBP,0.941625689,0.757844862,1.061993117,CREBBP,0.910016134,0.73267593,1.098881616,CREBBP,0.586860837,0.64603236,1.703981484,CREBBP,1.021428007,0.968027441,0.97902152,CREBBP,0.637527234,0.084679601,1.568560442,CREBBP,0.903570279,0.606580851,1.106720775,CREBBP,0.796418478,0.242410059,1.255621294,CREBBP,0.65274678,0.309965279,1.531987641,CREBBP,0.821940477,0.563447196,1.216633112
CTH,4.2449722,0.08115146,0.2355728,CTH,0.59136279,0.56510653,1.69100934,CTH,1.56243384,0.09485698,0.6400271,CTH,0.95568219,0.7689789,1.04637296,CTH,0.794805819,0.794699971,1.258168947,CTH,0.43849483,0.18071391,2.28052861,CTH,1.30075345,0.64964259,0.7687852,CTH,0.64844182,0.23445988,1.54215841,CTH,1.49872376,0.45547982,0.66723437,CTH,0.49608328,0.56710696,2.01579057,CTH,0.75082214,0.20798923,1.33187335,CTH,1.25936657,0.15667126,0.79404998,CTH,2.22079771,0.00070508,0.45028865,CTH,1.700341268,0.533886528,0.588117232,CTH,1.197625354,0.331648944,0.834985663,CTH,1.83831153,0.02820343,0.54397744,CTH,1.08145809,0.62640186,0.92467753,CTH,0.888255394,0.580511842,1.125802339,CTH,1.606440207,0.026200042,0.62249438,CTH,0.639519998,0.018579268,1.563672759,CTH,1.863602669,0.114845369,0.536595068,CTH,0.832991687,0.24922761,1.200492173,CTH,0.859811475,0.821983525,1.163045655,CTH,1.326777036,0.070390835,0.753706141,CTH,0.744779581,0.13263556,1.342679131,CTH,0.703990957,0.19316514,1.420472793,CTH,0.88008099,0.899175719,1.136259062,CTH,1.045173457,0.932264012,0.956778986,CTH,1.001008382,0.99690757,0.998992634,CTH,0.734197393,0.117395633,1.362031533,CTH,1.066472748,0.738437416,0.937670467,CTH,1.27277227,0.555566974,0.785686508,CTH,1.13624199,0.692784076,0.880094213
CTNNB1,0.72047411,0.65431057,1.38797493,CTNNB1,0.46681506,0.38392733,2.14217597,CTNNB1,1.11936924,0.67363509,0.89336027,CTNNB1,0.95465052,0.76301184,1.04750375,CTNNB1,1.031017877,0.970323446,0.969915287,CTNNB1,0.27652027,0.05208572,3.61637138,CTNNB1,0.84589165,0.77093439,1.18218451,CTNNB1,0.8050322,0.54825859,1.24218634,CTNNB1,0.84477977,0.75402405,1.18374047,CTNNB1,1.67184623,0.67507978,0.59814113,CTNNB1,1.75073748,0.01632681,0.57118786,CTNNB1,1.20938207,0.24417548,0.82686855,CTNNB1,0.93234511,0.7627218,1.07256421,CTNNB1,0.217119615,0.158358893,4.605756134,CTNNB1,0.880713083,0.484366577,1.135443562,CTNNB1,1.09955507,0.72607475,0.90945877,CTNNB1,0.87129029,0.39626656,1.1477231,CTNNB1,1.3424353,0.17408328,0.744914857,CTNNB1,1.341754506,0.174801312,0.74529282,CTNNB1,1.139695923,0.486980137,0.877427023,CTNNB1,0.544063283,0.097458579,1.838021478,CTNNB1,0.555523625,0.000418561,1.800103462,CTNNB1,1.8826351,0.371106308,0.531170379,CTNNB1,1.113744617,0.490059847,0.897871904,CTNNB1,1.310093799,0.170599362,0.763304124,CTNNB1,1.478533412,0.151027593,0.676345892,CTNNB1,1.472219703,0.699314561,0.679246445,CTNNB1,2.334077062,0.140497977,0.428434869,CTNNB1,1.583084571,0.07782487,0.631678192,CTNNB1,1.168581433,0.428557044,0.855738395,CTNNB1,1.226607664,0.292955525,0.815256605,CTNNB1,1.782102869,0.15846981,0.561134835,CTNNB1,0.772859103,0.433519404,1.293896903
CYLD,2.13289207,0.30627323,0.46884698,CYLD,0.25768231,0.22532507,3.88074758,CYLD,0.83994813,0.5074942,1.19054971,CYLD,1.17808957,0.29354432,0.84883189,CYLD,1.885067271,0.464830867,0.530485047,CYLD,1.26626844,0.67368449,0.78972196,CYLD,1.05524488,0.92727266,0.94764734,CYLD,0.90810321,0.7919219,1.10119641,CYLD,1.60818702,0.39653499,0.62181823,CYLD,662401172,0.99885132,1.51E-09,CYLD,1.37536685,0.15823086,0.72707874,CYLD,0.61588042,0.00297272,1.62369183,CYLD,0.7615086,0.24081475,1.31318281,CYLD,0.907380669,0.911769152,1.102073291,CYLD,0.786078713,0.197270765,1.272137235,CYLD,0.77262225,0.33345801,1.29429356,CYLD,1.06432629,0.69962973,0.9395615,CYLD,0.876884111,0.53733826,1.14040155,CYLD,1.380235111,0.126293137,0.724514246,CYLD,1.274321682,0.198294986,0.784731214,CYLD,0.822371747,0.587900958,1.215995082,CYLD,0.904652579,0.527495669,1.105396727,CYLD,0.868298163,0.833414223,1.151678125,CYLD,0.954803775,0.766226235,1.047335616,CYLD,1.115703524,0.576554655,0.896295457,CYLD,1.030871603,0.910685057,0.970052911,CYLD,3.697444764,0.259608216,0.270457049,CYLD,1.259366583,0.659424947,0.794049972,CYLD,0.630689081,0.082136071,1.585567327,CYLD,1.069013042,0.734849464,0.935442283,CYLD,0.987316556,0.947245453,1.01284638,CYLD,0.231124973,0.003440209,4.32666357,CYLD,0.725426335,0.381298919,1.378499721
DAP,2.02813183,0.34090806,0.49306459,DAP,0.41193786,0.30963686,2.42755063,DAP,1.04676422,0.86305008,0.95532497,DAP,0.6111332,0.00158713,1.6363045,DAP,1.129061217,0.882016614,0.885691568,DAP,3.86170762,0.04461312,0.2589528,DAP,1.18859336,0.76537751,0.84133063,DAP,0.92561424,0.83069738,1.08036367,DAP,0.53354427,0.26079621,1.87425872,DAP,1.74336671,0.65024197,0.57360278,DAP,1.06912372,0.76824275,0.93534544,DAP,0.97397993,0.87091723,1.0267152,DAP,1.15013979,0.54859151,0.86945953,DAP,2.864324116,0.213324924,0.349122501,DAP,0.86070018,0.410384733,1.161844767,DAP,0.88317204,0.64300721,1.13228223,DAP,1.14586992,0.40622883,0.87269941,DAP,1.556096508,0.040529905,0.642633664,DAP,2.395133071,7.92E-05,0.417513337,DAP,0.781846173,0.192178886,1.279023975,DAP,1.646749432,0.180797943,0.607256927,DAP,1.326776644,0.077141018,0.753706364,DAP,0.247492647,0.081984265,4.040524078,DAP,1.089726995,0.581361393,0.917661033,DAP,1.072463618,0.725640404,0.932432563,DAP,0.561675577,0.032047453,1.780387185,DAP,1.258841358,0.818784897,0.794381273,DAP,1.311969693,0.591330888,0.762212729,DAP,1.02784316,0.915550938,0.972911081,DAP,1.239617028,0.27459662,0.806700761,DAP,1.035226477,0.8574004,0.965972202,DAP,0.512008019,0.118786482,1.953094411,DAP,0.95432919,0.884187707,1.047856453
